condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,disagreement_rate,accept_rate,candidate_evals
id8,greedy,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1608.0
id8,r42_multistep_value,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1608.0
id8,ablation_immediate_label,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1608.0
ood32,greedy,18,0.5,0.5,0.7690972222222222,0.5,0.5,0.0,0.0,0.0
ood32,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.9236111111111112,0.8888888888888888,0.8333333333333334,0.0,0.0,7752.0
ood32,r42_multistep_value,18,0.8333333333333334,0.37267799624996495,0.9704861111111112,0.9444444444444444,0.8333333333333334,0.029513888888888888,0.10101010101010102,7752.0
ood32,ablation_immediate_label,18,0.8333333333333334,0.37267799624996495,0.9236111111111112,0.8888888888888888,0.8333333333333334,0.020833333333333332,0.06790123456790124,7752.0
ood64,greedy,18,0.16666666666666666,0.372677996249965,0.6519097222222222,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
ood64,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.8854166666666666,0.8333333333333334,0.8333333333333334,0.0,0.0,15944.0
ood64,r42_multistep_value,18,0.8333333333333334,0.37267799624996495,0.8836805555555556,0.8333333333333334,0.8333333333333334,0.03993055555555555,0.45542328042328045,15944.0
ood64,ablation_immediate_label,18,0.8333333333333334,0.37267799624996495,0.8836805555555556,0.8333333333333334,0.8333333333333334,0.04513888888888889,0.12222222222222223,15944.0
ood128,greedy,12,0.0,0.0,0.21809895833333334,0.0,0.0,0.0,0.0,0.0
ood128,r35_fixed32,12,0.25,0.4330127018922193,0.3326822916666667,0.16666666666666666,0.16666666666666666,0.0,0.0,32328.0
ood128,r42_multistep_value,12,0.3333333333333333,0.4714045207910317,0.3352864583333333,0.16666666666666666,0.16666666666666666,0.15104166666666666,0.5768911553225278,32328.0
ood128,ablation_immediate_label,12,0.3333333333333333,0.4714045207910317,0.3352864583333333,0.16666666666666666,0.16666666666666666,0.12890625,0.05675152635225231,32328.0
