condition,method,n,answer_mean,answer_std,path_survival_mean,final_true_path_in_beam,selected_true_path,verifier_candidate_evals_mean,trigger_rate,trigger_step_mean_when_triggered
id8,greedy,48,0.9166666666666666,0.2763853991962833,0.9427083333333334,0.9166666666666666,0.9166666666666666,0.0,0.0,
id8,r35_fixed8,48,0.9791666666666666,0.1428261375083551,1.0,1.0,0.9791666666666666,456.0,0.0,
id8,fixed32,48,0.9791666666666666,0.1428261375083551,1.0,1.0,0.9791666666666666,1608.0,0.0,
id8,r36_adaptive_verifier,48,0.9791666666666666,0.1428261375083551,1.0,1.0,0.9791666666666666,472.0,0.041666666666666664,5.0
id8,ablation_local_margin,48,0.9791666666666666,0.1428261375083551,1.0,1.0,0.9791666666666666,1256.0,0.9375,2.2666666666666666
ood32,greedy,36,0.5833333333333334,0.4930066485916347,0.7213541666666666,0.5555555555555556,0.5555555555555556,0.0,0.0,
ood32,r35_fixed8,36,0.9166666666666666,0.27638539919628335,0.9982638888888888,0.9722222222222222,0.9166666666666666,1992.0,0.0,
ood32,fixed32,36,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9166666666666666,7752.0,0.0,
ood32,r36_adaptive_verifier,36,0.9166666666666666,0.27638539919628335,0.9982638888888888,0.9722222222222222,0.9166666666666666,3672.0,0.4166666666666667,10.0
ood32,ablation_local_margin,36,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9166666666666666,7570.666666666667,1.0,1.5833333333333333
ood64,greedy,36,0.25,0.4330127018922193,0.6766493055555556,0.2222222222222222,0.2222222222222222,0.0,0.0,
ood64,r35_fixed8,36,0.9166666666666666,0.27638539919628335,0.9314236111111112,0.9166666666666666,0.9166666666666666,4040.0,0.0,
ood64,fixed32,36,0.9166666666666666,0.27638539919628335,0.93359375,0.9166666666666666,0.9166666666666666,15944.0,0.0,
ood64,r36_adaptive_verifier,36,0.9166666666666666,0.27638539919628335,0.9318576388888888,0.9166666666666666,0.9166666666666666,10680.0,0.75,16.85185185185185
ood64,ablation_local_margin,36,0.9166666666666666,0.27638539919628335,0.93359375,0.9166666666666666,0.9166666666666666,15730.666666666666,1.0,1.7777777777777777
ood128,greedy,24,0.125,0.33071891388307384,0.2835286458333333,0.0,0.0,0.0,0.0,
ood128,r35_fixed8,24,0.25,0.4330127018922193,0.3649088541666667,0.25,0.25,8136.0,0.0,
ood128,fixed32,24,0.625,0.4841229182759271,0.6624348958333334,0.5416666666666666,0.5416666666666666,32328.0,0.0,
ood128,r36_adaptive_verifier,24,0.625,0.4841229182759271,0.6223958333333334,0.5,0.5,30064.0,1.0,12.791666666666666
ood128,ablation_local_margin,24,0.625,0.4841229182759271,0.6624348958333334,0.5416666666666666,0.5416666666666666,32224.0,1.0,0.9583333333333334
ood256,greedy,12,0.0,0.0,0.1171875,0.0,0.0,0.0,0.0,
ood256,r35_fixed8,12,0.0,0.0,0.083984375,0.0,0.0,16328.0,0.0,
ood256,fixed32,12,0.0,0.0,0.09505208333333333,0.0,0.0,65096.0,0.0,
ood256,r36_adaptive_verifier,12,0.0,0.0,0.08626302083333333,0.0,0.0,63992.0,1.0,6.666666666666667
ood256,ablation_local_margin,12,0.0,0.0,0.091796875,0.0,0.0,65016.0,1.0,0.9166666666666666
