condition,method,answer_mean,answer_std,path_survival_mean,final_true_path_in_beam,selected_true_path
id8,greedy,0.9791666666666666,0.02946278254943948,0.9921875,0.9791666666666666,0.9791666666666666
id8,beam8_local,0.9166666666666666,0.02946278254943948,1.0,1.0,0.0
id8,r34_adaptive,0.9375,0.0,1.0,1.0,0.0
id8,beam8_verifier,1.0,0.0,1.0,1.0,1.0
ood32,greedy,0.4791666666666667,0.11785113019775792,0.7109375,0.3958333333333333,0.3958333333333333
ood32,beam8_local,0.6041666666666666,0.07795119555779044,0.87109375,0.7708333333333334,0.0
ood32,r34_adaptive,0.5833333333333334,0.07795119555779044,0.7981770833333334,0.6666666666666666,0.0
ood32,beam8_verifier,0.8958333333333334,0.02946278254943948,0.9641927083333334,0.9375,0.875
ood64,greedy,0.14583333333333334,0.02946278254943948,0.5445963541666666,0.10416666666666667,0.10416666666666667
ood64,beam8_local,0.3541666666666667,0.05892556509887896,0.5224609375,0.3333333333333333,0.0
ood64,r34_adaptive,0.3541666666666667,0.02946278254943948,0.4921875,0.2916666666666667,0.0
ood64,beam8_verifier,0.6666666666666666,0.11785113019775792,0.7848307291666666,0.6875,0.6458333333333334
ood128,greedy,0.041666666666666664,0.02946278254943948,0.23779296875,0.0,0.0
ood128,beam8_local,0.16666666666666666,0.02946278254943948,0.10921223958333333,0.0,0.0
ood128,r34_adaptive,0.0,0.0,0.10286458333333333,0.0,0.0
ood128,beam8_verifier,0.14583333333333334,0.02946278254943948,0.2682291666666667,0.14583333333333334,0.10416666666666667
id8,ablation_local_only_verifier,0.9791666666666666,0.02946278254943948,1.0,1.0,0.9791666666666666
ood32,ablation_local_only_verifier,0.7083333333333334,0.07795119555779044,0.9095052083333334,0.8333333333333334,0.6875
ood64,ablation_local_only_verifier,0.22916666666666666,0.02946278254943948,0.4651692708333333,0.3333333333333333,0.20833333333333334
ood256_extension,greedy,0.041666666666666664,0.05892556509887896,0.11393229166666667,0.0,0.0
ood256_extension,beam8_local,0.08333333333333333,0.05892556509887896,0.03857421875,0.0,0.0
ood256_extension,r34_adaptive,0.08333333333333333,0.05892556509887896,0.034505208333333336,0.0,0.0
ood256_extension,beam8_verifier,0.16666666666666666,0.05892556509887896,0.09228515625,0.0,0.0
