condition,method,n,answer_mean,answer_std,address_top1_acc,true_address_mass,address_in_top32,final_true_address_top1,final_true_address_mass,joint_entropy,mean_address_support
id8,greedy,24,0.9583333333333334,0.19982631347136331,0.96875,0.96875,0.96875,0.9583333333333334,0.9583333333333334,0.0,1.0
id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
id8,r49_discriminative_joint,24,1.0,0.0,1.0,0.9689358824039358,1.0,1.0,0.9579577387440321,0.16705027699590536,8.677083333333334
id8,ablation_local_likelihood_joint,24,1.0,0.0,0.9947916666666666,0.8591545392223628,1.0,1.0,0.8093089364104653,1.1574073917246137,15.359375
ood32,greedy,18,0.5555555555555556,0.4969039949999533,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.5,0.5,0.0,1.0
ood32,r35_fixed32,18,0.9444444444444444,0.2290614236454256,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ood32,r49_discriminative_joint,18,0.6111111111111112,0.4874980215217845,0.8871527777777778,0.6786368549115847,1.0,0.8333333333333334,0.6133734771688089,2.2369786752646914,35.829861111111114
ood32,ablation_local_likelihood_joint,18,0.8888888888888888,0.3142696805273545,0.9409722222222222,0.44086332067721895,1.0,1.0,0.3823884536343775,4.379812732428698,42.94444444444444
ood64,greedy,18,0.0,0.0,0.5460069444444444,0.5460069444444444,0.5460069444444444,0.0,0.0,0.0,1.0
ood64,r35_fixed32,18,0.8888888888888888,0.3142696805273545,0.8628472222222222,0.8628472222222222,0.8628472222222222,0.8333333333333334,0.8333333333333334,0.0,1.0
ood64,r49_discriminative_joint,18,0.2222222222222222,0.41573970964154905,0.765625,0.4447849512127069,0.9991319444444444,0.8333333333333334,0.42759733451635934,3.7998397218292905,48.91493055555556
ood64,ablation_local_likelihood_joint,18,0.5555555555555556,0.4969039949999533,0.8333333333333334,0.24750992159989316,1.0,0.8888888888888888,0.26616686482944757,5.515008376158828,56.958333333333336
