condition,method,n,answer_mean,path_survival,final_true_path_in_beam,selected_true_path,decoder_true_topk,unique_beam_joint_groups,max_joint_group_fraction,diversity_prune_changed_fraction,true_generation_losses_per_episode,true_pruning_losses_per_episode,candidate_evals
id8,r57_joint_state_diverse,18,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9583333333333334,29.444444444444443,0.04012924979933494,0.7986111111111112,0.0,0.0,3725.777777777778
id8,ablation_r54_global_top32,18,0.9444444444444444,1.0,1.0,0.9444444444444444,0.9583333333333334,26.020833333333332,0.07420043035489049,0.0,0.0,0.0,3759.5555555555557
ood32,r57_joint_state_diverse,12,1.0,1.0,1.0,1.0,0.953125,31.5078125,0.03273912532690421,0.609375,0.0,0.0,15706.0
ood32,ablation_r54_global_top32,12,1.0,1.0,1.0,1.0,0.953125,27.315104166666668,0.07627753678523755,0.0,0.0,0.0,15738.0
ood64,r57_joint_state_diverse,12,1.0,1.0,1.0,1.0,0.9427083333333334,31.6875,0.032389511624396135,0.5455729166666666,0.0,0.0,32618.666666666668
ood64,ablation_r54_global_top32,12,1.0,1.0,1.0,1.0,0.9427083333333334,26.416666666666668,0.08264179027022946,0.0,0.0,0.0,32645.333333333332
ood128,r57_joint_state_diverse,6,0.6666666666666666,0.73828125,0.6666666666666666,0.6666666666666666,0.9518229166666666,31.864583333333332,0.031749906994047616,0.4153645833333333,0.0,0.3333333333333333,64450.666666666664
ood128,ablation_r54_global_top32,6,0.6666666666666666,0.73828125,0.6666666666666666,0.6666666666666666,0.9518229166666666,28.748697916666668,0.06938825334821429,0.0,0.0,0.3333333333333333,64434.666666666664
