condition,method,n,answer_mean,answer_std,address_top1_acc,true_address_mass,address_in_top32,final_true_address_top1,final_true_address_mass,joint_entropy
id8,greedy,24,0.9583333333333334,0.19982631347136331,0.9947916666666666,0.9947916666666666,0.9947916666666666,0.9583333333333334,0.9583333333333334,0.0
id8,r35_fixed32,24,0.9583333333333334,0.19982631347136331,1.0,1.0,1.0,1.0,1.0,0.0
id8,r47_joint_bayes,24,0.9166666666666666,0.2763853991962833,0.9479166666666666,0.9002046106981737,1.0,0.8333333333333334,0.7941547499235874,0.5092153315392669
id8,ablation_factorized_belief,24,0.7916666666666666,0.4061164310337068,0.9479166666666666,0.9002046106981737,1.0,0.8333333333333334,0.7941547499235874,0.690606935218634
ood32,greedy,18,0.2777777777777778,0.4479032082388083,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.2777777777777778,0.2777777777777778,0.0
ood32,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.9704861111111112,0.9704861111111112,0.9704861111111112,0.8888888888888888,0.8888888888888888,0.0
ood32,r47_joint_bayes,18,0.16666666666666666,0.37267799624996495,0.71875,0.44320823957786143,1.0,0.5555555555555556,0.14910160739286235,3.7502039306488393
ood32,ablation_factorized_belief,18,0.05555555555555555,0.2290614236454256,0.71875,0.44320823957786143,1.0,0.5555555555555556,0.14910160739286235,4.19050392311508
ood64,greedy,18,0.16666666666666666,0.372677996249965,0.4661458333333333,0.4661458333333333,0.4661458333333333,0.16666666666666666,0.16666666666666666,0.0
ood64,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.9505208333333334,0.9505208333333334,0.9505208333333334,0.9444444444444444,0.9444444444444444,0.0
ood64,r47_joint_bayes,18,0.3333333333333333,0.4714045207910317,0.6310763888888888,0.23753542533234814,0.9947916666666666,0.7222222222222222,0.13503903628277875,5.368762045469092
ood64,ablation_factorized_belief,18,0.05555555555555555,0.2290614236454256,0.6310763888888888,0.2375354253323481,0.9947916666666666,0.7222222222222222,0.13503903628277877,5.508097041001005
ood128,greedy,12,0.08333333333333333,0.2763853991962833,0.318359375,0.318359375,0.318359375,0.0,0.0,0.0
ood128,r35_fixed32,12,0.5833333333333334,0.4930066485916347,0.6829427083333334,0.6829427083333334,0.6829427083333334,0.5833333333333334,0.5833333333333334,0.0
ood128,r47_joint_bayes,12,0.16666666666666666,0.3726779962499649,0.4765625,0.1245150900423504,0.9596354166666666,0.25,0.0469592526885411,6.43657682401527
ood128,ablation_factorized_belief,12,0.08333333333333333,0.2763853991962833,0.4765625,0.1245150900423504,0.9596354166666666,0.25,0.0469592526885411,6.505553063750614
