condition,method,n,answer_mean,answer_std,address_top1_acc,true_address_mass,address_in_top32,final_true_address_top1,joint_entropy,mean_mass_kept
id8,greedy,24,0.9583333333333334,0.19982631347136331,0.96875,0.96875,0.96875,0.9583333333333334,0.0,1.0
id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
id8,r48_sparse_joint,24,0.9166666666666666,0.27638539919628335,0.953125,0.9100783602199879,1.0,0.9166666666666666,0.4348344799552894,0.9996620013273203
id8,ablation_untruncated_joint,24,0.9166666666666666,0.27638539919628335,0.953125,0.9098308613455673,1.0,0.9166666666666666,0.4382607529816764,1.0
ood32,greedy,18,0.4444444444444444,0.4969039949999533,0.7274305555555556,0.7274305555555556,0.7274305555555556,0.3888888888888889,0.0,1.0
ood32,r35_fixed32,18,0.7777777777777778,0.41573970964154905,0.9427083333333334,0.9427083333333334,0.9427083333333334,0.8888888888888888,0.0,1.0
ood32,r48_sparse_joint,18,0.2777777777777778,0.44790320823880836,0.7413194444444444,0.5081152000404484,0.9965277777777778,0.5555555555555556,3.176094812400002,0.9451163564059146
ood32,ablation_untruncated_joint,18,0.2777777777777778,0.44790320823880836,0.7465277777777778,0.413078549030439,0.9947916666666666,0.5,4.038621543533129,1.0
ood64,greedy,18,0.2222222222222222,0.41573970964154905,0.4982638888888889,0.4982638888888889,0.4982638888888889,0.1111111111111111,0.0,1.0
ood64,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.9244791666666666,0.9244791666666666,0.9244791666666666,0.8888888888888888,0.0,1.0
ood64,r48_sparse_joint,18,0.3333333333333333,0.4714045207910317,0.6571180555555556,0.4376873964627439,0.9904513888888888,0.5555555555555556,3.798557397124282,0.9137018362764295
ood64,ablation_untruncated_joint,18,0.3333333333333333,0.4714045207910317,0.6432291666666666,0.2637690906783188,0.9921875,0.4444444444444444,5.2472098253248305,1.0
ood128,greedy,12,0.0,0.0,0.3255208333333333,0.3255208333333333,0.3255208333333333,0.0,0.0,1.0
ood128,r35_fixed32,12,0.5,0.5,0.5325520833333334,0.5325520833333334,0.5325520833333334,0.3333333333333333,0.0,1.0
ood128,r48_sparse_joint,12,0.0,0.0,0.5559895833333334,0.3435513759522273,0.9296875,0.8333333333333334,4.4147891253336695,0.8584067881072676
ood128,ablation_untruncated_joint,12,0.0,0.0,0.5481770833333334,0.1326604836622762,0.9479166666666666,0.6666666666666666,6.378472291344469,1.0
