condition,method,n,answer,path_survival,final_true_path,selected_true_path,candidate_evals,gate_hyp_fraction,gate_step_fraction,decoder_true_top4,decoder_true_top8,generation_losses,pruning_losses
id8,r61_top8_gate,12,1.0,1.0,1.0,1.0,3430.6666666666665,0.017785671003954586,0.15625,0.9479166666666666,0.96875,0.0,0.0
id8,ablation_frozen_top4,12,1.0,1.0,1.0,1.0,3316.0,0.0,0.0,0.9479166666666666,0.96875,0.0,0.0
ood64,r61_top8_gate,12,0.8333333333333334,0.9375,0.9166666666666666,0.8333333333333334,36139.333333333336,0.03563110798033142,0.30078125,0.9296875,0.9661458333333334,0.0,0.08333333333333333
ood64,ablation_frozen_top4,12,0.8333333333333334,0.9375,0.9166666666666666,0.8333333333333334,33574.0,0.0,0.0,0.9296875,0.9661458333333334,0.0,0.08333333333333333
ood128,r61_top8_gate,6,0.5,0.6184895833333334,0.5,0.5,72769.33333333333,0.042659086024583855,0.3697916666666667,0.9466145833333334,0.9752604166666666,0.0,0.5
ood128,ablation_frozen_top4,6,0.5,0.6184895833333334,0.5,0.5,66886.66666666667,0.0,0.0,0.9466145833333334,0.9752604166666666,0.0,0.5
ood256ecc,r61_top8_gate,6,0.3333333333333333,0.23763020833333334,0.16666666666666666,0.16666666666666666,154616.0,0.05949986405734071,0.4759114583333333,0.939453125,0.970703125,0.16666666666666666,0.6666666666666666
ood256ecc,ablation_frozen_top4,6,0.3333333333333333,0.23763020833333334,0.16666666666666666,0.16666666666666666,138025.33333333334,0.0,0.0,0.939453125,0.970703125,0.16666666666666666,0.6666666666666666
