condition,method,n,answer,path_survival,final_true_path,selected_true_path,candidate_evals,lookahead_edge_evals,total_edge_evals,decoder_true_topk,generation_losses,pruning_losses,rescue_events,harm_events,changed_step_fraction
id8,r58_lookahead,18,1.0,1.0,1.0,1.0,3233.3333333333335,4926.666666666667,8160.0,0.9305555555555556,0.0,0.0,0.0,0.0,0.6805555555555556
id8,ablation_r54_global_top32,18,1.0,1.0,1.0,1.0,3318.6666666666665,0.0,3318.6666666666665,0.9305555555555556,0.0,0.0,0.0,0.0,0.0
ood32,r58_lookahead,12,1.0,1.0,1.0,1.0,16134.666666666666,25020.0,41154.666666666664,0.9453125,0.0,0.0,0.0,0.0,0.8958333333333334
ood32,ablation_r54_global_top32,12,1.0,1.0,1.0,1.0,16769.333333333332,0.0,16769.333333333332,0.9453125,0.0,0.0,0.0,0.0,0.0
ood64,r58_lookahead,12,0.9166666666666666,0.9479166666666666,0.9166666666666666,0.9166666666666666,31355.333333333332,49086.0,80441.33333333333,0.9388020833333334,0.08333333333333333,0.0,0.16666666666666666,0.0,0.9309895833333334
ood64,ablation_r54_global_top32,12,0.8333333333333334,0.8776041666666666,0.8333333333333334,0.8333333333333334,32827.333333333336,0.0,32827.333333333336,0.9388020833333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0
ood128,r58_lookahead,6,0.8333333333333334,0.8424479166666666,0.8333333333333334,0.8333333333333334,69057.33333333333,107086.66666666667,176144.0,0.9466145833333334,0.16666666666666666,0.0,0.3333333333333333,0.0,0.9479166666666666
ood128,ablation_r54_global_top32,6,0.6666666666666666,0.7122398333333334,0.6666666666666666,0.6666666666666666,71809.33333333333,0.0,71809.33333333333,0.9466145833333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
