condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,true_rank_before,true_rank_after,mid_addr_evidence,mid_joint_evidence
id8,greedy,24,0.9583333333333334,0.19982631347136331,0.96875,0.9166666666666666,0.9166666666666666,,,,
id8,r35_fixed32,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,,,,
id8,r51_midpoint_joint,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,1.125,1.0833333333333333,1.4762912193550803,-3.968812131176799
id8,ablation_midpoint_address_only,24,1.0,0.0,1.0,1.0,1.0,1.125,1.0,1.4762912193550803,-3.968812131176799
ood32,greedy,18,0.4444444444444444,0.4969039949999533,0.8055555555555556,0.4444444444444444,0.4444444444444444,,,,
ood32,r35_fixed32,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,,,,
ood32,r51_midpoint_joint,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,1.0555555555555556,1.0555555555555556,2.9980877372294716,-4.51408277843808
ood32,ablation_midpoint_address_only,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,1.0555555555555556,1.0555555555555556,2.9980877372294716,-4.51408277843808
ood64,greedy,18,0.05555555555555555,0.2290614236454256,0.4331597222222222,0.05555555555555555,0.05555555555555555,,,,
ood64,r35_fixed32,18,0.8888888888888888,0.3142696805273545,0.9348958333333334,0.8888888888888888,0.8888888888888888,,,,
ood64,r51_midpoint_joint,18,0.8888888888888888,0.3142696805273545,0.9348958333333334,0.8888888888888888,0.8888888888888888,1.0,1.0,3.2570099846537865,-6.722055144161289
ood64,ablation_midpoint_address_only,18,0.8888888888888888,0.3142696805273545,0.9348958333333334,0.8888888888888888,0.8888888888888888,1.0,1.0,3.2570099846537865,-6.722055144161289
ood128,greedy,12,0.08333333333333333,0.2763853991962833,0.2610677083333333,0.0,0.0,,,,
ood128,r35_fixed32,12,0.25,0.4330127018922193,0.5234375,0.25,0.25,,,,
ood128,r51_midpoint_joint,12,0.25,0.4330127018922193,0.5234375,0.25,0.25,1.0,1.0,1.95110234315345,-7.820008681382187
ood128,ablation_midpoint_address_only,12,0.25,0.4330127018922193,0.5234375,0.25,0.25,1.0,1.0,1.95110234315345,-7.820008681382187
