condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals,mean_groups,mean_slots,mean_addr_entropy,mean_merge_overlap
id8,greedy,24,0.9166666666666666,0.2763853991962833,0.953125,0.9166666666666666,0.9166666666666666,0.0,0.0,1.0,0.0,0.0
id8,r35_fixed32,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,1608.0,0.0,32.0,0.0,0.0
id8,r46_distributional,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,1608.0,105.08854166666667,29.0,0.8576016791551382,0.8837298702646693
id8,ablation_r45_single_address,24,0.9583333333333334,0.19982631347136331,1.0,1.0,0.9583333333333334,1608.0,91.74479166666667,29.0,0.0,0.0
ood32,greedy,18,0.3888888888888889,0.4874980215217846,0.7621527777777778,0.3888888888888889,0.3888888888888889,0.0,0.0,1.0,0.0,0.0
ood32,r35_fixed32,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,0.0,32.0,0.0,0.0
ood32,r46_distributional,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,177.42534722222223,31.25,1.0855845429150395,0.9435856516100384
ood32,ablation_r45_single_address,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,162.02777777777777,31.25,0.0,0.0
ood64,greedy,18,0.16666666666666666,0.37267799624996495,0.4557291666666667,0.1111111111111111,0.1111111111111111,0.0,0.0,1.0,0.0,0.0
ood64,r35_fixed32,18,0.7777777777777778,0.41573970964154905,0.8767361111111112,0.8333333333333334,0.7777777777777778,15944.0,0.0,32.0,0.0,0.0
ood64,r46_distributional,18,0.7777777777777778,0.41573970964154905,0.875,0.8333333333333334,0.7777777777777778,15944.0,192.53125,31.625,1.134571927429435,0.9644490646659468
ood64,ablation_r45_single_address,18,0.7777777777777778,0.41573970964154905,0.8793402777777778,0.8333333333333334,0.7777777777777778,15944.0,177.52256944444446,31.625,0.0,0.0
ood128,greedy,12,0.16666666666666666,0.372677996249965,0.3274739583333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ood128,r35_fixed32,12,0.4166666666666667,0.4930066485916347,0.6497395833333334,0.4166666666666667,0.4166666666666667,32328.0,0.0,32.0,0.0,0.0
ood128,r46_distributional,12,0.4166666666666667,0.4930066485916347,0.6497395833333334,0.4166666666666667,0.4166666666666667,32328.0,201.60091145833334,31.8125,1.1815983691233907,0.9815251717781153
ood128,ablation_r45_single_address,12,0.4166666666666667,0.4930066485916347,0.6497395833333334,0.4166666666666667,0.4166666666666667,32328.0,190.84309895833334,31.8125,0.0,0.0
