condition,method,n,answer_mean,answer_std,path_survival,final_true_path,selected_true_path,candidate_evals,true_rank_before,true_rank_after
id8,greedy,24,0.9583333333333334,0.19982631347136331,0.9375,0.9166666666666666,0.9166666666666666,0.0,,
id8,r35_fixed32,24,1.0,0.0,1.0,1.0,1.0,1608.0,,
id8,r44_nonlinear_set,24,1.0,0.0,1.0,1.0,1.0,1608.0,1.0052083333333333,1.0
id8,ablation_nonlinear_independent,24,1.0,0.0,1.0,1.0,1.0,1608.0,1.0052083333333333,1.0052083333333333
ood32,greedy,18,0.6666666666666666,0.4714045207910317,0.8715277777777778,0.6666666666666666,0.6666666666666666,0.0,,
ood32,r35_fixed32,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,,
ood32,r44_nonlinear_set,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,1.1892361111111112,1.1059027777777777
ood32,ablation_nonlinear_independent,18,0.9444444444444444,0.2290614236454256,1.0,1.0,0.9444444444444444,7752.0,1.1892361111111112,1.0954861111111112
ood64,greedy,18,0.2777777777777778,0.44790320823880836,0.5416666666666666,0.05555555555555555,0.05555555555555555,0.0,,
ood64,r35_fixed32,18,0.8333333333333334,0.37267799624996495,0.9010416666666666,0.8888888888888888,0.8333333333333334,15944.0,,
ood64,r44_nonlinear_set,18,0.8333333333333334,0.37267799624996495,0.9036458333333334,0.8888888888888888,0.8333333333333334,15944.0,3.977141203703704,3.023561507936508
ood64,ablation_nonlinear_independent,18,0.8888888888888888,0.3142696805273545,0.9027777777777778,0.8888888888888888,0.8888888888888888,15944.0,3.714612644300144,2.691885371572871
ood128,greedy,12,0.0,0.0,0.24479166666666666,0.0,0.0,0.0,,
ood128,r35_fixed32,12,0.6666666666666666,0.4714045207910317,0.7174479166666666,0.6666666666666666,0.6666666666666666,32328.0,,
ood128,r44_nonlinear_set,12,0.75,0.4330127018922193,0.7864583333333334,0.75,0.75,32328.0,3.663949856427175,2.3540750244379276
ood128,ablation_nonlinear_independent,12,0.75,0.4330127018922193,0.7805989583333334,0.75,0.75,32328.0,2.9696377840909087,2.035629734848485
